borrower_id,age,occupation,monthly_income,income_consistency_score,utility_delay_days,debt_to_income_ratio,active_loans,upi_transactions,previous_default,loan_status
BORR02265,37,Kirana Owner,61519.78,70,1,0.348,1,85,0,1
BORR02266,37,Driver,24613.32,62,1,0.238,0,150,0,1
BORR02267,48,Delivery Partner,23807.54,73,1,0.24,0,168,1,1
BORR02268,50,Kirana Owner,34004.01,91,2,0.302,0,174,1,0
BORR02269,60,Delivery Partner,22626.97,83,0,0.339,0,199,0,1
BORR02270,43,Driver,26433.88,80,1,0.349,1,214,0,1
BORR02271,44,Kirana Owner,45170.5,35,9,0.849,3,98,0,0
BORR02272,49,Kirana Owner,34194.13,57,1,0.221,1,184,0,1
BORR02273,24,Freelancer,47760.75,77,1,0.297,0,180,0,1
BORR02274,58,Delivery Partner,24892.1,90,1,0.259,0,175,0,1
BORR02275,49,Kirana Owner,57646.65,68,0,0.243,0,136,0,1
BORR02276,39,Small Business Owner,76324.66,69,0,0.127,0,191,0,1
BORR02277,47,Freelancer,36618.46,76,1,0.351,0,158,0,1
BORR02278,49,Driver,16074.07,73,0,0.2,0,198,0,0
BORR02279,56,Delivery Partner,35795.43,74,4,0.121,1,183,0,1
BORR02280,55,Freelancer,15473.58,65,7,0.582,3,81,0,0
BORR02281,26,Driver,15427.56,72,0,0.209,1,163,1,1
BORR02282,43,Delivery Partner,18887.98,75,1,0.288,1,164,0,1
BORR02283,59,Driver,29067.81,70,2,0.202,0,87,1,1
BORR02284,28,Small Business Owner,19704.73,38,6,0.608,3,55,0,0
BORR02285,22,Driver,15576.58,52,3,0.554,4,133,1,1
BORR02286,33,Freelancer,45055.94,79,1,0.155,0,173,0,1
BORR02287,60,Driver,26051.01,72,0,0.255,0,152,0,1
BORR02288,41,Freelancer,40708.97,71,5,0.167,0,161,0,1
BORR02289,51,Driver,30024.77,74,1,0.219,1,162,0,1
BORR02290,56,Delivery Partner,21282.98,74,1,0.184,0,163,0,0
BORR02291,58,Driver,25189.22,67,1,0.252,0,151,0,1
BORR02292,47,Kirana Owner,56224.58,68,1,0.146,0,160,0,1
BORR02293,56,Kirana Owner,47130.16,83,1,0.27,1,160,0,1
BORR02294,43,Small Business Owner,52280.35,54,2,0.151,2,136,0,1
BORR02295,41,Driver,15419.61,34,6,0.522,1,98,0,1
BORR02296,33,Kirana Owner,60809.17,39,1,0.879,2,98,1,0
BORR02297,57,Delivery Partner,29554.05,87,1,0.255,0,164,0,1
BORR02298,46,Kirana Owner,56979.69,42,4,0.605,2,120,0,0
BORR02299,60,Freelancer,35642.32,37,8,0.726,2,118,1,0
BORR02300,27,Kirana Owner,65941.84,87,2,0.358,0,142,0,1
BORR02301,59,Driver,21042.82,100,1,0.376,1,221,0,1
BORR02302,42,Driver,24624.25,100,0,0.259,1,158,0,1
BORR02303,59,Delivery Partner,17014.67,70,0,0.355,0,218,0,0
BORR02304,43,Delivery Partner,32882.5,100,4,0.155,2,157,0,1
BORR02305,50,Delivery Partner,16901.0,93,1,0.244,0,165,1,1
BORR02306,38,Small Business Owner,37326.81,76,0,0.283,0,213,0,0
BORR02307,38,Small Business Owner,46514.35,61,3,0.723,2,94,1,0
BORR02308,30,Small Business Owner,31153.27,73,0,0.109,0,175,0,1
BORR02309,59,Small Business Owner,64088.04,53,5,0.755,1,143,0,0
BORR02310,50,Kirana Owner,40756.24,84,1,0.235,2,167,1,1
BORR02311,46,Kirana Owner,30360.17,69,1,0.112,0,174,0,1
BORR02312,27,Freelancer,58830.35,78,0,0.128,1,120,0,1
BORR02313,27,Small Business Owner,34238.54,85,1,0.213,1,132,0,1
BORR02314,25,Small Business Owner,56450.65,68,0,0.286,0,199,0,1
BORR02315,21,Driver,27997.35,77,2,0.395,1,151,0,0
BORR02316,38,Delivery Partner,25282.69,41,5,0.714,1,152,0,0
BORR02317,33,Kirana Owner,65181.13,96,0,0.338,1,111,0,1
BORR02318,45,Driver,25852.7,71,2,0.257,1,185,0,1
BORR02319,60,Freelancer,13396.75,81,3,0.209,0,130,0,1
BORR02320,28,Delivery Partner,23720.37,67,0,0.274,1,140,0,1
BORR02321,30,Delivery Partner,16861.62,70,0,0.254,1,180,0,1
BORR02322,52,Delivery Partner,31832.63,74,3,0.215,1,167,0,0
BORR02323,37,Kirana Owner,41114.57,65,1,0.16,1,174,0,0
BORR02324,58,Driver,15618.14,79,1,0.317,0,172,0,1
BORR02325,35,Freelancer,54984.82,63,1,0.265,0,150,0,1
BORR02326,35,Small Business Owner,28389.77,79,1,0.448,0,79,0,1
BORR02327,60,Freelancer,55513.68,79,2,0.149,1,185,0,1
BORR02328,40,Driver,15645.22,62,10,0.758,3,102,1,0
BORR02329,35,Delivery Partner,28508.37,86,1,0.344,1,190,0,1
BORR02330,55,Freelancer,29945.74,60,4,0.733,2,96,1,0
BORR02331,26,Delivery Partner,16323.58,69,2,0.378,1,195,0,1
BORR02332,50,Freelancer,49913.1,44,9,0.607,2,126,0,0
BORR02333,28,Small Business Owner,45927.32,78,1,0.159,2,182,0,1
BORR02334,51,Delivery Partner,20269.21,88,1,0.339,0,230,0,1
BORR02335,52,Driver,16382.55,34,10,0.703,4,126,1,0
BORR02336,35,Delivery Partner,21556.34,61,0,0.247,1,208,0,1
BORR02337,38,Kirana Owner,49281.13,76,1,0.179,0,156,0,1
BORR02338,33,Delivery Partner,20556.57,78,0,0.208,0,127,0,1
BORR02339,44,Freelancer,32874.3,59,10,0.803,2,87,1,0
BORR02340,60,Small Business Owner,32584.43,87,0,0.314,0,158,0,1
BORR02341,34,Delivery Partner,23789.48,65,0,0.337,0,168,1,1
BORR02342,48,Delivery Partner,22155.85,69,8,0.645,4,88,0,0
BORR02343,31,Driver,23488.32,63,6,0.761,2,89,0,0
BORR02344,26,Delivery Partner,23232.41,70,1,0.191,2,142,0,1
BORR02345,45,Driver,26525.64,80,3,0.174,0,191,0,1
BORR02346,21,Small Business Owner,80866.62,80,1,0.182,0,217,0,1
BORR02347,45,Delivery Partner,23046.25,77,0,0.188,1,179,0,1
BORR02348,22,Kirana Owner,62724.31,77,0,0.371,0,146,0,1
BORR02349,52,Driver,15002.99,65,0,0.093,2,137,0,1
BORR02350,33,Delivery Partner,21360.84,52,8,0.652,3,69,1,0
BORR02351,53,Delivery Partner,15628.54,90,1,0.21,2,161,0,1
BORR02352,52,Delivery Partner,28714.14,77,1,0.221,0,244,0,1
BORR02353,44,Delivery Partner,27672.41,96,1,0.208,0,206,0,1
BORR02354,47,Freelancer,56737.82,78,2,0.15,1,176,0,1
BORR02355,24,Small Business Owner,27784.5,70,2,0.292,0,193,0,1
BORR02356,44,Driver,21583.84,40,8,0.808,1,82,1,0
BORR02357,43,Delivery Partner,22584.26,89,1,0.152,0,171,0,1
BORR02358,49,Kirana Owner,33585.15,31,12,0.903,2,80,0,0
BORR02359,54,Delivery Partner,20233.13,64,1,0.334,2,91,1,1
BORR02360,41,Small Business Owner,38540.74,43,7,0.837,2,145,0,0
BORR02361,50,Delivery Partner,13109.32,56,3,0.711,1,78,1,0
BORR02362,46,Driver,24577.29,65,1,0.178,0,138,0,1
BORR02363,40,Kirana Owner,42480.51,76,2,0.19,2,111,0,1
BORR02364,36,Freelancer,42932.01,69,1,0.174,0,195,0,0
BORR02365,23,Freelancer,21529.51,74,0,0.26,0,162,0,1
BORR02366,57,Kirana Owner,44543.71,56,6,0.894,1,80,0,0
BORR02367,60,Small Business Owner,38778.87,63,10,0.857,2,132,1,0
BORR02368,45,Kirana Owner,43646.31,64,1,0.077,1,119,0,1
BORR02369,43,Driver,31158.45,88,0,0.298,0,237,0,1
BORR02370,21,Kirana Owner,46479.16,72,2,0.322,1,187,0,1
BORR02371,53,Kirana Owner,28931.3,96,1,0.345,0,143,0,1
BORR02372,35,Kirana Owner,37170.75,67,0,0.313,2,166,0,1
BORR02373,37,Freelancer,39621.72,81,0,0.225,1,182,0,1
BORR02374,54,Small Business Owner,63660.42,80,3,0.338,1,93,1,1
BORR02375,37,Kirana Owner,62012.17,78,0,0.144,1,233,0,1
BORR02376,24,Driver,21164.66,90,1,0.215,1,173,0,1
BORR02377,33,Kirana Owner,44846.52,65,2,0.143,0,131,0,1
BORR02378,24,Delivery Partner,27121.85,89,1,0.391,1,132,0,1
BORR02379,27,Freelancer,21953.62,74,0,0.191,1,126,0,1
BORR02380,29,Kirana Owner,59513.58,82,0,0.164,1,165,0,1
BORR02381,43,Driver,23185.45,76,2,0.228,0,170,0,1
BORR02382,53,Delivery Partner,27684.13,93,0,0.254,0,122,0,1
BORR02383,53,Kirana Owner,39641.47,69,1,0.095,1,157,0,1
BORR02384,40,Delivery Partner,28127.17,63,0,0.277,0,109,0,1
BORR02385,24,Freelancer,18961.3,85,0,0.15,1,144,0,1
BORR02386,21,Small Business Owner,28364.53,79,0,0.259,0,138,0,1
BORR02387,54,Kirana Owner,57408.19,81,1,0.308,0,173,0,1
BORR02388,47,Freelancer,41391.19,91,1,0.221,0,200,0,1
BORR02389,41,Freelancer,58208.24,80,0,0.262,1,107,0,1
BORR02390,44,Delivery Partner,37291.71,75,0,0.139,0,183,0,1
BORR02391,35,Delivery Partner,26702.57,78,2,0.142,0,209,0,1
BORR02392,55,Kirana Owner,53472.93,44,10,0.843,2,135,0,0
BORR02393,45,Delivery Partner,29401.77,81,1,0.216,0,165,0,1
BORR02394,29,Driver,19703.88,54,5,0.709,2,93,1,0
BORR02395,37,Delivery Partner,18338.51,70,1,0.324,1,134,0,1
BORR02396,41,Kirana Owner,51473.32,86,1,0.228,0,154,0,1
BORR02397,33,Delivery Partner,17033.35,62,4,0.779,4,116,1,0
BORR02398,23,Delivery Partner,17886.05,36,12,0.702,2,129,1,0
BORR02399,24,Driver,29001.32,80,1,0.195,0,197,0,1
BORR02400,24,Small Business Owner,72377.46,79,0,0.336,2,144,0,1
BORR02401,48,Kirana Owner,60605.54,82,0,0.139,1,132,0,1
BORR02402,27,Delivery Partner,20697.28,43,7,0.669,4,114,1,0
BORR02403,46,Delivery Partner,22886.11,89,0,0.118,1,217,0,1
BORR02404,31,Freelancer,44235.86,81,2,0.125,1,88,0,1
BORR02405,44,Delivery Partner,28902.73,75,1,0.2,1,149,0,1
BORR02406,30,Kirana Owner,36431.7,89,2,0.249,1,200,0,1
BORR02407,57,Kirana Owner,45893.01,82,0,0.168,1,268,0,1
BORR02408,33,Delivery Partner,29680.63,79,1,0.312,1,173,0,1
BORR02409,59,Kirana Owner,70020.97,73,0,0.279,0,170,0,1
BORR02410,39,Driver,29953.5,98,0,0.211,1,162,0,1
BORR02411,39,Freelancer,49994.16,68,0,0.198,2,116,0,1
BORR02412,32,Delivery Partner,14530.7,53,4,0.533,4,163,0,0
BORR02413,42,Driver,29395.65,74,1,0.344,0,125,0,1
BORR02414,57,Small Business Owner,43102.83,27,8,0.848,2,90,0,0
BORR02415,50,Delivery Partner,30106.12,84,0,0.254,0,157,1,1
BORR02416,32,Kirana Owner,67557.5,82,1,0.259,0,177,0,1
BORR02417,49,Kirana Owner,49514.32,84,1,0.259,0,109,0,1
BORR02418,41,Freelancer,17844.57,53,6,0.652,2,66,1,0
BORR02419,31,Small Business Owner,38603.88,48,10,0.889,1,91,0,0
BORR02420,57,Kirana Owner,64263.24,70,0,0.096,1,166,0,1
BORR02421,38,Kirana Owner,29141.32,27,8,0.5,1,108,0,0
BORR02422,47,Small Business Owner,32282.31,38,8,0.604,3,92,0,0
BORR02423,57,Delivery Partner,16985.52,74,1,0.234,0,177,0,1
BORR02424,32,Small Business Owner,52854.64,79,1,0.262,1,163,0,1
BORR02425,43,Kirana Owner,58688.58,72,2,0.253,1,163,0,1
BORR02426,54,Freelancer,41865.14,73,1,0.291,0,109,0,1
BORR02427,58,Small Business Owner,40682.11,38,5,0.647,1,166,0,0
BORR02428,43,Kirana Owner,40754.83,71,1,0.159,0,159,0,1
BORR02429,45,Driver,20077.97,75,2,0.103,1,183,0,1
BORR02430,24,Kirana Owner,55750.8,82,1,0.135,0,216,1,1
BORR02431,50,Delivery Partner,23183.69,61,0,0.189,0,212,0,1
BORR02432,50,Driver,28114.76,66,0,0.304,1,186,0,1
BORR02433,33,Delivery Partner,31915.12,86,1,0.282,0,112,0,1
BORR02434,34,Driver,20939.55,60,0,0.33,0,193,0,1
BORR02435,28,Kirana Owner,32732.49,63,1,0.241,1,155,0,1
BORR02436,44,Small Business Owner,36956.94,61,0,0.427,0,117,0,1
BORR02437,38,Delivery Partner,28150.66,74,2,0.255,0,146,1,1
BORR02438,55,Small Business Owner,35658.15,65,0,0.254,1,257,0,1
BORR02439,45,Kirana Owner,71814.96,70,2,0.089,1,156,0,1
BORR02440,37,Delivery Partner,18589.99,40,9,0.98,4,106,1,0
BORR02441,52,Delivery Partner,19770.89,76,0,0.119,2,183,0,1
BORR02442,44,Delivery Partner,25081.92,80,0,0.364,2,187,0,1
BORR02443,27,Delivery Partner,19290.61,82,2,0.268,1,126,0,1
BORR02444,33,Delivery Partner,34693.2,89,3,0.258,0,118,1,1
BORR02445,47,Freelancer,49954.77,73,0,0.2,0,176,0,1
BORR02446,25,Kirana Owner,62581.05,77,0,0.277,1,164,0,1
BORR02447,56,Small Business Owner,66344.55,76,2,0.316,1,170,0,1
BORR02448,46,Driver,27791.24,68,0,0.259,0,188,0,1
BORR02449,51,Delivery Partner,17170.82,49,11,0.561,3,130,0,0
BORR02450,30,Driver,15152.16,81,0,0.073,2,171,0,1
BORR02451,46,Freelancer,15237.35,87,0,0.309,0,164,0,1
BORR02452,42,Delivery Partner,33262.15,69,0,0.147,0,144,0,1
BORR02453,32,Freelancer,16281.92,89,2,0.356,1,144,0,1
BORR02454,52,Kirana Owner,36655.18,74,1,0.246,0,214,0,1
BORR02455,47,Driver,14968.61,90,1,0.143,1,182,0,1
BORR02456,53,Delivery Partner,26454.76,63,4,0.626,2,55,0,0
BORR02457,40,Delivery Partner,21745.73,81,1,0.182,1,167,0,1
BORR02458,59,Driver,17442.08,74,4,0.379,1,227,0,1
BORR02459,60,Delivery Partner,21039.24,94,0,0.138,0,232,0,1
BORR02460,33,Delivery Partner,30344.68,69,2,0.199,1,175,0,1
BORR02461,34,Delivery Partner,21056.37,88,0,0.181,0,167,0,1
BORR02462,60,Driver,18110.18,67,0,0.27,1,147,0,1
BORR02463,42,Driver,15025.45,71,0,0.29,1,153,0,1
BORR02464,38,Delivery Partner,24415.08,95,1,0.296,2,152,0,1
BORR02465,49,Kirana Owner,55217.16,84,0,0.195,0,164,0,1
BORR02466,36,Small Business Owner,33451.78,81,0,0.269,0,199,0,1
BORR02467,55,Small Business Owner,35759.38,80,3,0.389,1,151,0,1
BORR02468,54,Kirana Owner,56694.88,56,6,0.596,3,118,1,0
BORR02469,23,Delivery Partner,16814.49,82,0,0.172,0,188,0,1
BORR02470,24,Kirana Owner,40396.06,78,0,0.23,0,220,0,1
BORR02471,25,Freelancer,48395.88,83,0,0.123,1,135,0,1
BORR02472,30,Small Business Owner,62388.93,76,0,0.152,0,157,0,0
BORR02473,49,Kirana Owner,36899.42,74,1,0.108,0,138,0,1
BORR02474,52,Small Business Owner,36137.58,71,1,0.304,1,135,0,1
BORR02475,51,Kirana Owner,46198.42,67,2,0.343,0,167,0,1
BORR02476,22,Delivery Partner,24660.86,83,1,0.201,1,131,0,1
BORR02477,32,Freelancer,25002.24,27,5,0.739,1,94,0,0
BORR02478,47,Freelancer,30479.71,62,2,0.314,0,163,0,0
BORR02479,25,Small Business Owner,44257.18,48,5,0.658,1,106,0,0
BORR02480,57,Delivery Partner,15972.78,81,2,0.187,0,196,0,1
BORR02481,47,Delivery Partner,22380.97,71,0,0.361,0,183,0,1
BORR02482,43,Freelancer,60746.77,81,1,0.277,1,136,1,1
BORR02483,53,Driver,17714.47,56,3,0.153,1,177,0,1
BORR02484,24,Delivery Partner,23867.79,21,6,0.795,3,96,1,0
BORR02485,41,Delivery Partner,33321.75,81,3,0.143,0,174,0,1
BORR02486,44,Freelancer,60609.57,59,1,0.264,0,200,0,1
BORR02487,51,Freelancer,52687.12,44,2,0.044,0,134,0,1
BORR02488,44,Driver,21127.59,80,1,0.287,0,188,0,1
BORR02489,30,Small Business Owner,60937.51,69,0,0.265,0,139,0,1
BORR02490,22,Kirana Owner,38471.96,81,1,0.211,1,179,1,1
BORR02491,51,Driver,16845.25,86,0,0.18,1,112,0,1
BORR02492,45,Small Business Owner,38326.71,70,0,0.246,1,211,0,1
BORR02493,24,Kirana Owner,50037.87,85,1,0.349,1,133,0,1
BORR02494,31,Freelancer,52378.12,87,0,0.384,1,121,1,1
BORR02495,37,Freelancer,23921.38,82,2,0.319,0,142,0,1
BORR02496,22,Kirana Owner,47745.83,91,0,0.301,1,118,0,1
BORR02497,26,Freelancer,22949.25,69,1,0.223,0,170,0,1
BORR02498,29,Driver,29637.81,64,0,0.223,2,127,1,1
BORR02499,25,Driver,15353.97,62,1,0.219,0,158,0,1
BORR02500,40,Freelancer,63192.94,79,2,0.32,0,131,1,1
BORR02501,49,Delivery Partner,20576.23,82,0,0.258,1,174,0,1
BORR02502,41,Small Business Owner,42036.93,84,1,0.176,0,166,0,1
BORR02503,29,Delivery Partner,26232.67,77,1,0.326,1,166,0,1
BORR02504,48,Small Business Owner,38888.44,81,0,0.075,1,141,0,1
BORR02505,28,Delivery Partner,24406.43,81,0,0.296,0,197,0,1
BORR02506,51,Kirana Owner,42202.28,47,3,0.748,2,101,0,0
BORR02507,40,Delivery Partner,18721.2,83,2,0.359,0,141,0,1
BORR02508,47,Kirana Owner,52502.8,87,0,0.332,0,216,0,1
BORR02509,28,Kirana Owner,67535.99,66,0,0.02,0,147,0,1
BORR02510,41,Kirana Owner,60109.46,71,0,0.221,0,154,0,1
BORR02511,48,Small Business Owner,45811.75,56,6,0.693,3,100,0,0
BORR02512,43,Freelancer,45617.83,61,1,0.365,1,126,0,1
BORR02513,26,Freelancer,48227.74,77,0,0.244,1,128,0,1
BORR02514,23,Freelancer,27381.71,88,1,0.252,1,154,0,1
BORR02515,25,Small Business Owner,75723.63,93,1,0.5,0,205,1,1
BORR02516,29,Kirana Owner,52499.73,84,1,0.229,0,126,0,1
BORR02517,27,Small Business Owner,33997.12,63,10,0.47,2,101,1,0
BORR02518,24,Small Business Owner,62151.06,87,1,0.245,0,235,0,1
BORR02519,59,Kirana Owner,48260.53,82,0,0.255,0,162,0,1
BORR02520,25,Driver,29745.1,84,2,0.247,1,138,0,1
BORR02521,31,Delivery Partner,27786.74,97,1,0.204,1,208,0,1
BORR02522,35,Freelancer,48381.35,53,4,0.526,1,147,1,0
BORR02523,54,Small Business Owner,57158.34,76,1,0.276,2,149,0,0
BORR02524,33,Freelancer,13442.34,91,0,0.26,0,156,0,1
BORR02525,27,Kirana Owner,32963.35,77,1,0.211,0,147,0,1
BORR02526,60,Kirana Owner,33051.92,83,1,0.219,0,120,0,1
BORR02527,26,Freelancer,24955.54,86,0,0.188,0,119,1,1
BORR02528,59,Kirana Owner,62004.34,67,0,0.256,0,183,0,1
BORR02529,50,Delivery Partner,23660.0,63,4,0.829,3,89,0,0
BORR02530,42,Driver,28560.59,73,1,0.286,0,153,0,1
BORR02531,45,Freelancer,20409.35,74,1,0.173,0,182,0,1
BORR02532,48,Delivery Partner,18768.01,86,4,0.332,0,194,0,1
BORR02533,40,Kirana Owner,45163.77,66,1,0.315,1,191,0,1
BORR02534,59,Driver,14553.25,32,6,0.608,4,64,0,0
BORR02535,23,Delivery Partner,29571.68,81,0,0.271,0,178,0,1
BORR02536,25,Delivery Partner,27717.33,77,3,0.327,0,169,0,1
BORR02537,21,Freelancer,46214.75,82,2,0.224,0,194,0,1
BORR02538,35,Small Business Owner,53930.93,38,5,0.98,3,75,1,0
BORR02539,46,Freelancer,49347.74,85,1,0.28,1,174,0,1
BORR02540,23,Kirana Owner,45063.99,89,0,0.386,1,179,1,1
BORR02541,60,Small Business Owner,64731.64,100,2,0.271,0,148,0,1
BORR02542,54,Freelancer,39078.51,87,2,0.289,1,154,0,1
BORR02543,25,Driver,17119.97,78,1,0.26,1,201,0,1
BORR02544,51,Kirana Owner,69708.42,83,1,0.288,2,144,0,1
BORR02545,33,Freelancer,11171.22,47,6,0.727,4,79,1,0
BORR02546,21,Driver,17977.2,89,1,0.178,2,169,0,1
BORR02547,42,Freelancer,43740.85,76,7,0.66,4,108,1,0
BORR02548,35,Kirana Owner,53358.86,94,3,0.119,0,164,0,1
BORR02549,46,Driver,24721.02,75,1,0.266,0,114,0,0
BORR02550,38,Freelancer,52599.23,60,6,0.5,2,138,0,0
BORR02551,29,Driver,25051.6,76,0,0.267,1,159,1,1
BORR02552,21,Delivery Partner,16156.93,58,7,0.794,2,125,0,1
BORR02553,29,Kirana Owner,71049.2,84,0,0.29,0,215,0,1
BORR02554,43,Delivery Partner,27821.0,81,2,0.138,2,101,0,0
BORR02555,22,Delivery Partner,21243.49,31,6,0.616,1,70,0,1
BORR02556,34,Small Business Owner,26854.92,58,0,0.209,0,128,0,0
BORR02557,58,Kirana Owner,63629.97,68,2,0.204,1,191,0,1
BORR02558,60,Kirana Owner,35421.26,77,1,0.161,0,197,0,1
BORR02559,38,Delivery Partner,24905.57,73,0,0.759,3,143,1,0
BORR02560,36,Delivery Partner,24255.51,94,1,0.299,1,127,0,1
BORR02561,49,Driver,21692.35,68,1,0.27,0,144,0,1
BORR02562,31,Small Business Owner,40833.31,67,1,0.32,1,144,0,1
BORR02563,26,Freelancer,16511.36,18,7,0.854,3,59,1,0
BORR02564,23,Delivery Partner,12833.94,53,4,0.606,2,61,1,0
BORR02565,34,Driver,21990.4,85,0,0.184,2,122,0,1
BORR02566,22,Delivery Partner,29515.53,72,0,0.242,0,215,1,1
BORR02567,52,Kirana Owner,72469.79,80,2,0.25,0,182,0,1
BORR02568,51,Driver,24540.43,66,4,0.105,1,116,0,1
BORR02569,31,Small Business Owner,72383.7,65,0,0.175,2,189,0,1
BORR02570,42,Kirana Owner,35135.1,73,2,0.328,1,225,0,1
BORR02571,23,Kirana Owner,71645.07,87,0,0.119,0,205,0,1
BORR02572,51,Small Business Owner,59346.32,71,0,0.194,1,105,0,1
BORR02573,53,Small Business Owner,30342.68,76,1,0.242,0,152,0,0
BORR02574,44,Delivery Partner,28487.19,69,0,0.244,0,140,0,1
BORR02575,21,Driver,21130.34,67,0,0.271,0,105,0,0
BORR02576,35,Freelancer,53348.06,83,0,0.281,1,142,0,1
BORR02577,57,Kirana Owner,46082.75,72,0,0.141,0,151,0,1
BORR02578,47,Kirana Owner,64349.15,64,1,0.24,1,126,0,1
BORR02579,58,Kirana Owner,62833.23,64,0,0.166,0,153,0,1
BORR02580,47,Small Business Owner,43058.43,88,1,0.371,2,177,0,1
BORR02581,32,Delivery Partner,27244.02,40,5,0.683,3,94,0,0
BORR02582,23,Freelancer,64320.11,89,2,0.374,1,84,0,1
BORR02583,50,Small Business Owner,43726.21,84,2,0.23,1,160,0,1
BORR02584,52,Delivery Partner,19084.03,74,2,0.198,1,147,0,1
BORR02585,43,Kirana Owner,53762.46,85,2,0.377,0,104,0,1
BORR02586,22,Driver,33138.88,76,0,0.22,1,153,0,1
BORR02587,27,Delivery Partner,22236.74,32,8,0.638,4,80,1,0
BORR02588,54,Freelancer,29088.77,59,2,0.236,2,165,0,0
BORR02589,52,Delivery Partner,22827.19,79,1,0.266,1,220,0,1
BORR02590,59,Delivery Partner,29758.03,74,0,0.202,1,133,0,1
BORR02591,52,Driver,22298.02,73,2,0.351,1,197,0,0
BORR02592,34,Kirana Owner,58472.23,87,0,0.196,1,183,0,1
BORR02593,23,Driver,18032.58,99,1,0.229,0,151,0,1
BORR02594,52,Kirana Owner,66445.88,91,2,0.178,1,105,0,1
BORR02595,56,Driver,14192.99,33,6,0.942,2,117,1,0
BORR02596,37,Driver,26900.56,70,0,0.123,0,103,0,1
BORR02597,23,Driver,19770.69,85,0,0.234,2,247,0,1
BORR02598,30,Small Business Owner,70395.45,74,0,0.33,0,223,0,1
BORR02599,60,Kirana Owner,66397.97,73,0,0.161,1,154,0,1
BORR02600,38,Delivery Partner,25306.22,51,5,0.639,3,112,1,0
BORR02601,23,Delivery Partner,22841.1,58,0,0.191,0,225,0,1
BORR02602,59,Delivery Partner,17274.31,53,11,0.742,3,86,1,0
BORR02603,30,Freelancer,21766.1,82,2,0.231,1,129,0,1
BORR02604,29,Kirana Owner,56833.42,86,1,0.425,2,173,0,1
BORR02605,31,Small Business Owner,47454.92,41,9,0.602,3,115,1,0
BORR02606,53,Delivery Partner,32821.83,83,0,0.292,1,132,1,1
BORR02607,56,Driver,16273.25,43,6,0.821,3,69,0,0
BORR02608,46,Small Business Owner,62790.89,70,2,0.394,0,174,0,1
BORR02609,47,Kirana Owner,61850.37,79,1,0.269,2,257,0,1
BORR02610,58,Small Business Owner,34318.41,53,5,0.752,3,116,0,0
BORR02611,42,Kirana Owner,42327.96,71,3,0.333,1,165,0,1
BORR02612,46,Delivery Partner,22652.91,42,5,0.73,1,96,0,1
BORR02613,42,Small Business Owner,29171.99,87,1,0.267,2,178,0,1
BORR02614,25,Kirana Owner,60486.68,75,0,0.412,1,160,0,1
BORR02615,55,Small Business Owner,30860.76,94,0,0.252,0,162,0,1
BORR02616,22,Kirana Owner,52053.42,24,11,0.57,3,72,0,0
BORR02617,55,Small Business Owner,47659.21,62,0,0.394,0,159,0,1
BORR02618,29,Delivery Partner,35796.03,79,0,0.287,0,166,1,1
BORR02619,38,Small Business Owner,36566.22,70,0,0.283,0,165,0,1
BORR02620,32,Freelancer,59227.38,68,1,0.226,0,143,0,0
BORR02621,23,Delivery Partner,23791.92,68,0,0.355,1,189,0,1
BORR02622,38,Kirana Owner,67432.36,97,0,0.193,1,163,0,0
BORR02623,58,Freelancer,14622.81,70,1,0.287,0,203,0,1
BORR02624,27,Kirana Owner,56043.12,77,0,0.248,2,144,0,0
BORR02625,53,Driver,19890.37,81,1,0.225,0,193,0,1
BORR02626,26,Freelancer,24876.3,71,0,0.168,1,126,0,1
BORR02627,38,Driver,18981.96,48,12,0.807,2,113,1,0
BORR02628,42,Kirana Owner,43474.44,72,1,0.309,0,111,0,1
BORR02629,59,Kirana Owner,37842.89,72,1,0.089,1,199,0,1
BORR02630,29,Delivery Partner,27347.85,83,0,0.289,0,200,0,1
BORR02631,55,Delivery Partner,27425.68,69,0,0.28,0,127,0,1
BORR02632,43,Kirana Owner,35575.25,93,1,0.316,2,117,0,1
BORR02633,32,Small Business Owner,23532.82,48,5,0.763,1,93,0,1
BORR02634,44,Delivery Partner,20975.52,34,3,0.684,2,110,0,0
BORR02635,60,Freelancer,50960.95,77,3,0.244,0,142,0,1
BORR02636,29,Freelancer,40669.51,63,1,0.149,0,106,0,1
BORR02637,33,Freelancer,49255.06,72,3,0.192,1,224,0,1
BORR02638,60,Delivery Partner,32127.15,83,0,0.287,0,111,0,1
BORR02639,37,Driver,27869.5,68,2,0.35,0,163,0,1
BORR02640,27,Delivery Partner,18945.43,78,0,0.333,0,191,0,1
BORR02641,37,Delivery Partner,27464.51,82,0,0.273,0,130,0,0
BORR02642,44,Driver,16262.69,28,5,0.599,4,118,0,0
BORR02643,22,Small Business Owner,40919.9,84,1,0.103,1,156,0,0
BORR02644,55,Kirana Owner,56350.33,80,0,0.176,2,168,0,1
BORR02645,48,Delivery Partner,22294.46,57,6,0.35,2,79,1,1
BORR02646,39,Kirana Owner,41765.18,75,2,0.102,0,189,0,1
BORR02647,53,Small Business Owner,71871.09,78,0,0.194,0,159,0,1
BORR02648,41,Freelancer,46503.17,82,2,0.267,1,122,0,1
BORR02649,30,Kirana Owner,55071.68,71,2,0.269,0,206,1,1
BORR02650,29,Delivery Partner,21109.46,78,1,0.286,0,118,0,1
BORR02651,58,Freelancer,44988.9,97,1,0.234,1,176,0,1
